game_season,game_result,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,pf,tov,pts,plus_minus
76,L (-2),44:17,17,31,.548,9,15,.600,4,4,1.000,3,3,6,9,3,0,3,1,47,+3
77,W (+10),38:42,13,23,.565,7,13,.538,2,2,1.000,1,7,8,5,2,0,0,3,35,+13
78,W (+11),31:41,5,16,.313,4,11,.364,1,1,1.000,1,1,2,5,3,0,2,1,15,+9
1,W (+31),23:57,4,10,.400,2,5,.400,0,0,,0,4,4,6,1,0,4,1,10,+28
2,L (-11),38:29,14,23,.609,9,14,.643,1,1,1.000,0,3,3,9,0,0,3,11,38,-8
3,W (+11),32:30,8,13,.615,5,8,.625,1,1,1.000,0,1,1,12,1,0,4,7,22,+18
4,W (+20),29:13,7,16,.438,2,9,.222,2,2,1.000,3,7,10,12,5,1,0,2,18,+34
5,W (+13),24:11,2,8,.250,0,3,.000,1,2,.500,0,1,1,7,1,0,1,1,5,+3
6,L (-18),34:22,7,18,.389,4,10,.400,4,4,1.000,1,1,2,5,3,0,1,3,22,-9
7,W (+18),29:00,7,10,.700,2,4,.500,9,9,1.000,1,1,2,8,1,0,4,2,25,+20
8,W (+1),43:07,8,22,.364,4,8,.500,2,3,.667,0,5,5,9,1,0,4,2,22,-4
9,W (+14),38:31,7,20,.350,0,5,.000,1,2,.500,0,3,3,11,1,0,1,0,15,+18
10,W (+11),33:15,7,15,.467,4,7,.571,4,4,1.000,2,4,6,8,3,0,4,5,22,+22
11,L (-12),37:10,8,21,.381,2,9,.222,4,5,.800,0,3,3,11,1,0,1,5,22,-6
12,W (+1),42:05,7,20,.350,2,5,.400,0,0,,1,7,8,9,3,1,2,2,16,-2
13,L (-4),42:24,9,19,.474,6,10,.600,5,5,1.000,0,4,4,8,1,0,3,6,29,-3
14,L (-1),44:42,13,26,.500,4,10,.400,2,3,.667,2,9,11,5,0,0,4,3,32,+4
15,W (+2),40:10,14,24,.583,5,8,.625,3,3,1.000,0,2,2,10,3,1,1,7,36,+1
16,W (+9),43:25,8,15,.533,3,7,.429,8,10,.800,0,3,3,10,5,1,1,3,27,+16
17,L (-22),32:28,5,14,.357,1,5,.200,11,11,1.000,0,1,1,5,3,0,4,8,22,-12
